model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
vidar,V-B29,50,0.7182103991508484,0.0007156140054576099,20,20,0.529733407497406,0.05007135341676206
vidar,V-B29,75,0.7202128767967224,0.0009034756221808493,20,20,0.529733407497406,0.05007135341676206
vidar,V-B29,100,0.7262585759162903,0.002353030489757657,20,20,0.529733407497406,0.05007135341676206
vidar,V-Norm,0,0.7181963324546814,0.0008831453742459416,20,20,0.529733407497406,0.05007135341676206
vidar,V-Norm,25,0.7141727209091187,0.0007163624977692962,20,20,0.529733407497406,0.05007135341676206
vidar,V-Norm,50,0.7182109951972961,0.0006904081092216074,20,20,0.529733407497406,0.05007135341676206
vidar,V-Norm,75,0.7141631841659546,0.0008768423576839268,20,20,0.529733407497406,0.05007135341676206
vidar,V-Norm,100,0.7262678742408752,0.002306493232026696,20,20,0.529733407497406,0.05007135341676206
vidar,T-D1,0,0.7280698418617249,0.07493802905082703,20,20,0.529733407497406,0.05007135341676206
vidar,T-D1,25,0.7280698418617249,0.07493802905082703,20,20,0.529733407497406,0.05007135341676206
vidar,T-D1,50,0.7280698418617249,0.07493802905082703,20,20,0.529733407497406,0.05007135341676206
vidar,T-D1,75,0.7280698418617249,0.07493802905082703,20,20,0.529733407497406,0.05007135341676206
vidar,T-D1,100,0.7280698418617249,0.07493802905082703,20,20,0.529733407497406,0.05007135341676206
