model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
lingbot-va-posttrain-robotwin,V-B21,,220,0.147305,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B21,,220,0.161160,88.7,87.0,87.85
xvla-robotwin2,V-B21,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B21,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,V-B21,imgtext,220,0.398458,80.42,81.16,80.79
vidar_aloha_native,V-B21,,220,0.098446,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,1,0.161584,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,1,0.177172,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,1,0.429929,80.42,81.16,80.79
vidar_aloha_native,V-B29,,1,0.072322,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,3,0.161259,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,3,0.175663,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,3,0.430427,80.42,81.16,80.79
vidar_aloha_native,V-B29,,3,0.073036,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,7,0.164853,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,7,0.178108,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,7,0.429285,80.42,81.16,80.79
vidar_aloha_native,V-B29,,7,0.077185,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,15,0.161697,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,15,0.176529,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,15,0.433871,80.42,81.16,80.79
vidar_aloha_native,V-B29,,15,0.078382,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,25,0.163129,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,25,0.181861,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,25,0.435674,80.42,81.16,80.79
vidar_aloha_native,V-B29,,25,0.078706,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,40,0.160148,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,40,0.177137,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,40,0.432660,80.42,81.16,80.79
