model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,7,0.026472,0.02395
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,15,0.030095,0.02625
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,25,0.033128,0.028733
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,40,0.038874,0.032883
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,75,0.051788,0.040867
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,110,0.063833,0.048133
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,150,0.074546,0.05385
Qwen-OFT-Bridge-RT-1,L,6000,pre_llm_vt,proprio_seq_dtw,220,0.086418,0.0622
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,1,0.022371,0.02
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,3,0.021907,0.02
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,7,0.023374,0.0209
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,15,0.026497,0.02305
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,25,0.0284,0.02445
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,40,0.034599,0.028633
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,75,0.045828,0.03555
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,110,0.058134,0.041583
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,150,0.068143,0.047217
Qwen-OFT-Bridge-RT-1,L,6000,img,proprio_seq_dtw,220,0.078669,0.054017
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,1,0.018637,0.0154
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,3,0.018003,0.015367
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,7,0.018451,0.015867
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,15,0.02194,0.017317
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,25,0.024118,0.018817
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,40,0.027941,0.021517
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,75,0.036493,0.02665
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,110,0.043958,0.0317
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,150,0.05119,0.035983
Qwen-OFT-Bridge-RT-1,L,6000,txt,proprio_seq_dtw,220,0.060317,0.041417
Qwen-OFT-Bridge-RT-1,L,6000,imgtext,proprio_seq_dtw,1,0.023673,0.020267
