model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
lbva_v25,V-B29,100,0.44822046160697937,0.009473850019276142,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-Norm,0,0.42497777938842773,0.004622806794941425,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-Norm,25,0.4286593794822693,0.004569729790091515,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-Norm,50,0.43124377727508545,0.0047697522677481174,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-Norm,75,0.43862950801849365,0.005343746859580278,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,V-Norm,100,0.45050469040870667,0.00946568138897419,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,T-D1,0,0.35504788160324097,0.6272464990615845,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,T-D1,25,0.35504788160324097,0.6272464990615845,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,T-D1,50,0.35504788160324097,0.6272464990615845,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,T-D1,75,0.35504788160324097,0.6272464990615845,500,500,0.011908029485493899,0.0012560038080729936
lbva_v25,T-D1,100,0.35504788160324097,0.6272464990615845,500,500,0.011908029485493899,0.0012560038080729936
vidar,V-D1,0,0.27473732829093933,0.0005021432880312204,480,480,0.013248042482882739,0.003952495712684199
vidar,V-D1,25,0.3958164155483246,0.0038248535711318254,480,480,0.013248042482882739,0.003952495712684199
vidar,V-D1,50,0.40189844369888306,0.0063181230798363686,480,480,0.013248042482882739,0.003952495712684199
vidar,V-D1,75,0.40208348631858826,0.007326769642531872,480,480,0.013248042482882739,0.003952495712684199
vidar,V-D1,100,0.4064064621925354,0.007900855503976345,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B0,0,0.48258844017982483,0.0003904494515154511,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B0,25,0.47682511806488037,0.00041516023338772357,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B0,50,0.4593815803527832,0.000611517287325114,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B0,75,0.42856308817863464,0.001272256369702518,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B0,100,0.42203202843666077,0.004226452670991421,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B7,0,0.4672100841999054,0.002815328072756529,480,480,0.013248042482882739,0.003952495712684199
vidar,V-B7,25,0.4840482473373413,0.0028239416424185038,480,480,0.013248042482882739,0.003952495712684199
