model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
xvla-robotwin2,V-B7,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,150,0.074039,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,150,0.021192,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,220,0.022838,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,220,0.051707,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,220,0.086349,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,220,0.023172,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,1,0.008694,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,1,0.016442,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,1,0.024561,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,1,0.007498,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,3,0.008702,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,3,0.016395,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,3,0.024935,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,3,0.007793,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,7,0.008692,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,7,0.016983,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,7,0.026629,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,7,0.007983,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,15,0.009378,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,15,0.019081,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,15,0.028972,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,15,0.009247,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,25,0.011177,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,25,0.021811,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,25,0.032086,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,25,0.010493,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,40,0.012920,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,40,0.025557,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,40,0.038159,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,40,0.011786,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,75,0.015047,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,75,0.034527,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,V-B14,imgtext,75,0.049968,80.42,81.16,80.79
vidar_3cam_modeB,V-B14,,75,0.015058,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B14,,110,0.019842,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B14,,110,0.042334,88.7,87.0,87.85
xvla-robotwin2,V-B14,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B14,imgtext,110,0.061125,50.38,,50.38
