model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.022803,0.021133
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.022836,0.02125
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.023639,0.0221
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.026901,0.024167
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.029477,0.026067
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.035492,0.0308
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.047754,0.039533
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.060116,0.046533
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.072614,0.053767
siglip2-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.084824,0.061483
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.024161,0.02285
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.023742,0.023017
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.025045,0.024083
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.028491,0.026283
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.031672,0.028433
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.038756,0.033433
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.050441,0.041767
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.063963,0.049683
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.075251,0.056817
siglip2-large-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.087201,0.063883
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.024204,0.02325
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.023836,0.02355
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.025432,0.024467
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.028909,0.026317
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.031781,0.02815
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.03874,0.032767
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049624,0.040633
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.06135,0.047583
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.072157,0.054267
siglip2-so400m-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.082746,0.0611
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.021055,0.01905
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.021199,0.019383
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.022399,0.020067
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.024832,0.021933
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.027579,0.023933
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.034531,0.028717
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.046142,0.03625
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.058062,0.04325
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.068385,0.049333
vc1-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.080766,0.056883
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.021624,0.019533
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.021711,0.02005
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.022849,0.02075
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.025216,0.022467
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.027596,0.0241
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.034573,0.02915
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.0458,0.036933
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.058083,0.04395
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.068885,0.050567
vc1-large-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.081287,0.0584
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.022163,0.0216
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.02258,0.0219
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.023825,0.02265
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.026922,0.02485
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.029266,0.0268
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.035873,0.031567
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.048129,0.039733
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.060631,0.046983
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.071223,0.05345
vjepa-v1-vith-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.084024,0.061683
vjepa-v1-vitl-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.022143,0.0213
